FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                               	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                	|  -              	|  330203         	|  191.59         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                   	|  22.506         	|  8              	|  180.05         	|  93.974         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                       	|  0.010227       	|  9146           	|  93.539         	|  48.821         	|
|  run_training_batch                                                                                                                                                   	|  0.013838       	|  4368           	|  60.446         	|  31.549         	|
|  [LightningModule]BaggingCNN_FFNN.optimizer_step                                                                                                                      	|  0.013735       	|  4368           	|  59.994         	|  31.313         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                         	|  0.0094087      	|  4368           	|  41.097         	|  21.45          	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                              	|  0.0029446      	|  4368           	|  12.862         	|  6.7132         	|
|  [_EvaluationLoop].val_next                                                                                                                                           	|  0.0011006      	|  9146           	|  10.066         	|  5.2538         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                           	|  0.0021138      	|  4368           	|  9.233          	|  4.819          	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                       	|  0.00023028     	|  13514          	|  3.112          	|  1.6243         	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                    	|  0.00031544     	|  9146           	|  2.885          	|  1.5058         	|
|  [LightningModule]BaggingCNN_FFNN.transfer_batch_to_device                                                                                                            	|  0.0001958      	|  13514          	|  2.646          	|  1.381          	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                         	|  0.00052015     	|  4368           	|  2.272          	|  1.1858         	|
|  [LightningModule]BaggingCNN_FFNN.optimizer_zero_grad                                                                                                                 	|  0.00016804     	|  4368           	|  0.734          	|  0.3831         	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.04075        	|  8              	|  0.326          	|  0.17015        	|
|  save_checkpoint                                                                                                                                                      	|  0.028182       	|  11             	|  0.31           	|  0.1618         	|
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  3.5943e-05     	|  4368           	|  0.157          	|  0.081944       	|
|  [LightningModule]BaggingCNN_FFNN.configure_gradient_clipping                                                                                                         	|  1.7628e-05     	|  4368           	|  0.077          	|  0.040189       	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_before_zero_grad                                                                                    	|  1.0531e-05     	|  4368           	|  0.046          	|  0.024009       	|
